ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
322,Coin Change,35.5%,Medium,0.930364459085817, https://leetcode.com/problems/coin-change
17,Letter Combinations of a Phone Number,46.8%,Medium,0.9202313417131626, https://leetcode.com/problems/letter-combinations-of-a-phone-number
140,Word Break II,32.6%,Hard,0.915097284840888, https://leetcode.com/problems/word-break-ii
54,Spiral Matrix,34.1%,Medium,0.9117152787807636, https://leetcode.com/problems/spiral-matrix
53,Maximum Subarray,46.5%,Easy,0.9028149401651968, https://leetcode.com/problems/maximum-subarray
74,Search a 2D Matrix,36.5%,Medium,0.9027789280658292, https://leetcode.com/problems/search-a-2d-matrix
56,Merge Intervals,39.3%,Medium,0.8719401675539429, https://leetcode.com/problems/merge-intervals
1155,Number of Dice Rolls With Target Sum,49.0%,Medium,0.8666032186425704, https://leetcode.com/problems/number-of-dice-rolls-with-target-sum
227,Basic Calculator II,36.9%,Medium,0.865227243301703, https://leetcode.com/problems/basic-calculator-ii
33,Search in Rotated Sorted Array,34.5%,Medium,0.8584888773941517, https://leetcode.com/problems/search-in-rotated-sorted-array
224,Basic Calculator,36.8%,Hard,0.8569364892249722, https://leetcode.com/problems/basic-calculator
12,Integer to Roman,55.1%,Medium,0.8496820889352563, https://leetcode.com/problems/integer-to-roman
815,Bus Routes,42.5%,Hard,0.8477684486311822, https://leetcode.com/problems/bus-routes
772,Basic Calculator III,41.3%,Hard,0.8430873278508602, https://leetcode.com/problems/basic-calculator-iii
706,Design HashMap,61.3%,Easy,0.8231356111081237, https://leetcode.com/problems/design-hashmap
981,Time Based Key-Value Store,53.1%,Medium,0.8180951326968029, https://leetcode.com/problems/time-based-key-value-store
456,132 Pattern,28.9%,Medium,0.8138174114576592, https://leetcode.com/problems/132-pattern
759,Employee Free Time,66.2%,Hard,0.8088525092565556, https://leetcode.com/problems/employee-free-time
437,Path Sum III,47.2%,Medium,0.7976226188683302, https://leetcode.com/problems/path-sum-iii
503,Next Greater Element II,56.5%,Medium,0.7968165955277405, https://leetcode.com/problems/next-greater-element-ii
208,Implement Trie (Prefix Tree),49.4%,Medium,0.7928548865863879, https://leetcode.com/problems/implement-trie-prefix-tree
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.7928508522150108, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
97,Interleaving String,31.5%,Hard,0.7716773297315191, https://leetcode.com/problems/interleaving-string
1091,Shortest Path in Binary Matrix,38.2%,Medium,0.7689762247924476, https://leetcode.com/problems/shortest-path-in-binary-matrix
173,Binary Search Tree Iterator,56.6%,Medium,0.7549245402561885, https://leetcode.com/problems/binary-search-tree-iterator
980,Unique Paths III,73.3%,Hard,0.7472144018302211, https://leetcode.com/problems/unique-paths-iii
